,titles,authors,ratings,num_ratings,id,description,pages,genre,format
2022,Along for the Ride,Sarah Dessen,4.07,"180,032 ratings",5664985,"It’s been so long since Auden slept at night. Ever since her parents’ divorce—or since the fighting started. Now she has the chance to spend a carefree summer with her dad and his new family in the charming beach town where they live.  A job in a clothes boutique introduces Auden to the world of girls: their talk, their friendship, their crushes. She missed out on all that, too busy being the perfect daughter to her demanding mother. Then she meets Eli, an intriguing loner and a fellow insomniac who becomes her guide to the nocturnal world of the town. Together they embark on parallel quests: for Auden, to experience the carefree teenage life she’s been denied; for Eli, to come to terms with the guilt he feels for the death of a friend.  In her signature pitch-perfect style, Sarah Dessen explores the hearts of two lonely people learning to connect.",383 pages,"{'Romance', 'Chick Lit', 'Contemporary', 'Young Adult', 'Womens Fiction'}",Hardcover
2023,Wolf Hall (Thomas Cromwell #1),Hilary Mantel,3.86,"141,687 ratings",6101138,"England in the 1520s is a heartbeat from disaster. If the king dies without a male heir, the country could be destroyed by civil war. Henry VIII wants to annul his marriage of twenty years and marry Anne Boleyn. The pope and most of Europe opposes him. Into this impasse steps Thomas Cromwell: a wholly original man, a charmer and a bully, both idealist and opportunist, astute in reading people, and implacable in his ambition. But Henry is volatile: one day tender, one day murderous. Cromwell helps him break the opposition, but what will be the price of his triumph?",653 pages,"{'Historical Fiction', 'Historical', 'Fiction'}",
2024,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,3.94,"130,792 ratings",15751404,"In his #1 bestselling books The Tipping Point, Blink, and Outliers, Malcolm Gladwell has explored the ways we understand and change our world. Now he looks at the complex and surprising ways the weak can defeat the strong, the small can match up against the giant, and how our goals (often culturally determined) can make a huge difference in our ultimate sense of success. Drawing upon examples from the world of business, sports, culture, cutting-edge psychology, and an array of unforgettable characters around the world, David and Goliath is in many ways the most practical and provocative book Malcolm Gladwell has ever written.",305 pages,"{'History', 'Psychology', 'Science', 'Audiobook', 'Self Help', 'Leadership', 'Philosophy', 'Business', 'Sociology', 'Nonfiction'}",Hardcover
2025,"The Summer I Turned Pretty (Summer, #1)",Jenny Han,3.93,"135,930 ratings",5821978,"Belly measures her life in summers. Everything good, everything magical happens between the months of June and August. Winters are simply a time to count the weeks until the next summer, a place away from the beach house, away from Susannah, and most importantly, away from Jeremiah and Conrad. They are the boys that Belly has known since her very first summer—they have been her brother figures, her crushes, and everything in between. But one summer, one terrible and wonderful summer, the more everything changes, the more it all ends up just the way it should have been all along.",276 pages,"{'Romance', 'Chick Lit', 'Contemporary', 'Young Adult', 'Womens Fiction'}",Hardcover
2026,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.07,"85,285 ratings",7108725,"Why do you do what you do?  Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their success over and over?  People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers might have little in common, but they all started with why. It was their natural ability to start with why that enabled them to inspire those around them and to achieve remarkable things.  In studying the leaders who've had the greatest influence in the world, Simon Sinek discovered that they all think, act, and communicate in the exact same way—and it's the complete opposite of what everyone else does. Sinek calls this powerful idea The Golden Circle, and it provides a framework upon which organizations can be built, movements can be lead, and people can be inspired. And it all starts with WHY.  Any organization can explain what it does; some can explain how they do it; but very few can clearly articulate why. WHY is not money or profit—those are always results. WHY does your organization exist? WHY does it do the things it does? WHY do customers really buy from one company or another? WHY are people loyal to some leaders, but not others?  Starting with WHY works in big business and small business, in the nonprofit world and in politics. Those who start with WHY never manipulate, they inspire. And the people who follow them don't do so because they have to; they follow because they want to.  Drawing on a wide range of real-life stories, Sinek weaves together a clear vision of what it truly takes to lead and inspire. This book is for anyone who wants to inspire others or who wants to find someone to inspire them.",256 pages,"{'Self Help', 'Leadership', 'Business', 'Nonfiction', 'Personal Development'}",Hardcover
2027,"The White Queen (The Plantagenet and Tudor Novels, #2; The Cousins War #1)",Philippa Gregory,3.92,"146,382 ratings",5971165,"Brother turns on brother. The throne of England is at stake. The deadly Wars of the Roses have begun. . . .""They ruled England before the Tudors, and now internationally bestselling author Philippa Gregory brings the Plantagenets to life through the dramatic and intimate stories of the secret players: the indomitable women.""Elizabeth Woodville, a woman of extraordinary beauty and ambition, secretly marries the newly crowned boy king. While she rises to the demands of her exalted position and fights for the success of her family, her two sons become the central figures in a famous unsolved mystery that has confounded historians for centuries: the lost princes in the Tower of London. Philippa Gregory brings the artistry and intellect of a master writer and storyteller to a new era in history and begins what is sure to be another bestselling classic series.",408 pages,"{'Historical Fiction', 'Historical', 'Fiction'}",Hardcover
2028,"Fire (Graceling Realm, #2)",Kristin Cashore,4.11,"151,307 ratings",6137154,"It is not a peaceful time in the Dells. The young King Nash clings to his throne while rebel lords in the north and south build armies to unseat him. The mountains and forests are filled with spies and thieves and lawless men.  This is where Fire lives. With a wild, irresistible appearance and hair the color of flame, Fire is the last remaining human monster. Equally hated and adored, she had the unique ability to control minds, but she guards her power, unwilling to steal the secrets of innocent people. Especially when she has so many of her own.  Then Prince Brigan comes to bring her to King City, The royal family needs her help to uncover the plot against the king. Far away from home, Fire begins to realize there's more to her power than she ever dreamed. Her power could save the kingdom.  If only she weren't afraid of becoming the monster her father was.",480 pages,"{'Fiction', 'Fantasy', 'Young Adult', 'Romance'}",Hardcover
2029,Smile,Raina Telgemeier,4.23,"145,523 ratings",6393631,"Raina just wants to be a normal sixth grader. But one night after Girl Scouts she trips and falls, severely injuring her two front teeth, and what follows is a long and frustrating journey with on-again, off-again braces, surgery, embarrassing headgear, and even a retainer with fake teeth attached. And on top of all that, there’s still more to deal with: a major earthquake, boy confusion, and friends who turn out to be not so friendly. This coming-of-age true story is sure to resonate with anyone who has ever been in middle school, and especially those who have ever had a bit of their own dental drama.",224 pages,"{'Childrens', 'Young Adult', 'Sequential Art', 'Graphic Novels', 'Middle Grade', 'Comics'}",Hardcover
2030,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.29,"150,099 ratings",6289283,"Full of incredible characters, amazing athletic achievements, cutting-edge science, and, most of all, pure inspiration, Born to Run is an epic adventure that began with one simple question: Why does my foot hurt? In search of an answer, Christopher McDougall sets off to find a tribe of the world’s greatest distance runners and learn their secrets, and in the process shows us that everything we thought we knew about running is wrong.  Isolated by the most savage terrain in North America, the reclusive Tarahumara Indians of Mexico’s deadly Copper Canyons are custodians of a lost art. For centuries they have practiced techniques that allow them to run hundreds of miles without rest and chase down anything from a deer to an Olympic marathoner while enjoying every mile of it. Their superhuman talent is matched by uncanny health and serenity, leaving the Tarahumara immune to the diseases and strife that plague modern existence. With the help of Caballo Blanco, a mysterious loner who lives among the tribe, the author was able not only to uncover the secrets of the Tarahumara but also to find his own inner ultra-athlete, as he trained for the challenge of a lifetime: a fifty-mile race through the heart of Tarahumara country pitting the tribe against an odd band of Americans, including a star ultramarathoner, a beautiful young surfer, and a barefoot wonder.  With a sharp wit and wild exuberance, McDougall takes us from the high-tech science labs at Harvard to the sun-baked valleys and freezing peaks across North America, where ever-growing numbers of ultrarunners are pushing their bodies to the limit, and, finally, to the climactic race in the Copper Canyons. Born to Run is that rare book that will not only engage your mind but inspire your body when you realize that the secret to happiness is right at your feet, and that you, indeed all of us, were born to run.",287 pages,"{'Health', 'Adventure', 'Biography', 'Science', 'Travel', 'Sports', 'Fitness', 'Audiobook', 'Memoir', 'Nonfiction', 'Autobiography'}",Hardcover
2031,"Thoughtless (Thoughtless, #1)",S.C. Stephens,4.10,"130,282 ratings",13517535,"For almost two years now, Kiera's boyfriend, Denny, has been everything she's ever wanted: loving, tender and endlessly devoted to her. When they head off to a new city to start their lives together, Denny at his dream job and Kiera at a top-notch university, everything seems perfect. Then an unforeseen obligation forces the happy couple apart.  Feeling lonely, confused, and in need of comfort, Kiera turns to an unexpected source—a local rock star named Kellan Kyle. At first, he's purely a friend that she can lean on, but as her loneliness grows, so does their relationship. And then one night everything changes... and none of them will ever be the same.",530 pages,"{'Contemporary Romance', 'Contemporary', 'New Adult', 'Romance'}",
2032,"The Short Second Life of Bree Tanner (Twilight, #3.5)",Stephenie Meyer,3.50,"171,426 ratings",7937462,"Bree Tanner can barely remember life before she had uncannily powerful senses, superhuman reflexes, and unstoppable physical strength. Life before she had a relentless thirst for blood...life before she became a vampire.  All Bree knows is that living with her fellow newborns has few certainties and even fewer rules: watch your back, don't draw attention to yourself, and above all, make it home by sunrise or die. What she doesn't know: her time as an immortal is quickly running out.  Then Bree finds an unexpected friend in Diego, a newborn just as curious as Bree about their mysterious creator, whom they only know as her. As they come to realize that the newborns are pawns in a game larger than anything they could have imagined, Bree and Diego must choose sides and decide whom to trust. But when everything you know about vampires is based on a lie, how do you find the truth?",178 pages,"{'Vampires', 'Fantasy', 'Young Adult', 'Paranormal'}",Hardcover
2033,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,3.29,"122,499 ratings",5899779,"The New York Times Best Seller is now a major motion picture starring Lily James and Sam Riley, with Matt Smith, Charles Dance, and Lena Headey.  “It is a truth universally acknowledged that a zombie in possession of brains must be in want of more brains.”  So begins Pride and Prejudice and Zombies, an expanded edition of the beloved Jane Austen novel featuring all-new scenes of bone-crunching zombie mayhem. As our story opens, a mysterious plague has fallen upon the quiet English village of Meryton—and the dead are returning to life! Feisty heroine Elizabeth Bennet is determined to wipe out the zombie menace, but she’s soon distracted by the arrival of the haughty and arrogant Mr. Darcy. What ensues is a delightful comedy of manners with plenty of civilized sparring between the two young lovers—and even more violent sparring on the blood-soaked battlefield. Can Elizabeth vanquish the spawn of Satan? And overcome the social prejudices of the class-conscious landed gentry? Complete with romance, heartbreak, swordfights, cannibalism, and thousands of rotting corpses, Pride and Prejudice and Zombies transforms a masterpiece of world literature into something you’d actually want to read.",320 pages,"{'Historical Fiction', 'Fantasy', 'Humor', 'Romance', 'Paranormal', 'Horror', 'Classics', 'Historical', 'Fiction', 'Zombies'}",
2034,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,3.94,"83,033 ratings",6452796,"Forget everything you thought you knew about how to motivate people—at work, at school, at home. It's wrong. As Daniel H. Pink (author of To Sell Is Human: The Surprising Truth About Motivating Others) explains in his paradigm-shattering book Drive, the secret to high performance and satisfaction in today's world is the deeply human need to direct our own lives, to learn and create new things, and to do better by ourselves and our world.  Drawing on four decades of scientific research on human motivation, Pink exposes the mismatch between what science knows and what business does—and how that affects every aspect of our lives. He demonstrates that while the old-fashioned carrot-and-stick approach worked successfully in the 20th century, it's precisely the wrong way to motivate people for today's challenges. In Drive, he reveals the three elements of true motivation:  *Autonomy—the desire to direct our own lives *Mastery—the urge to get better and better at something that matters *Purpose—the yearning to do what we do in the service of something larger than ourselves  Along the way, he takes us to companies that are enlisting new approaches to motivation and introduces us to the scientists and entrepreneurs who are pointing a bold way forward.  Drive is bursting with big ideas—the rare book that will change how you think and transform how you live.",242 pages,"{'Psychology', 'Self Help', 'Leadership', 'Business', 'Nonfiction', 'Personal Development'}",Hardcover
2035,"Dead and Gone (Sookie Stackhouse, #9)",Charlaine Harris,4.02,"168,929 ratings",5161066,"The vamps have been out for years, and now the weres and shifters have decided to follow the lead of the undead and reveal their existence to the ordinary world. Sookie Stackhouse already knows about them, of course - her brother turns into a panther at the full moon, she's friend to the local were pack, and Sam, her boss at Merlotte's bar, is a shapeshifter.  The great revelation goes well at first - then the horribly mutilated body of a were-panther is found in the parking lot of Merlotte's, and Sookie agrees to use her telepathic talent to track down the murderer. But there is a far greater danger than this killer threatening Bon Temps: a race of unhuman beings, older, more powerful, and far more secretive than the vampires or the werewolves, is preparing for war. And Sookie is an all-too-human pawn in their ages-old battle...",312 pages,"{'Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Vampires', 'Fiction', 'Mystery'}",Hardcover
2036,The Forty Rules of Love,Elif Shafak,4.16,"106,987 ratings",6642715,"In this lyrical, exuberant follow-up to her 2007 novel, The Bastard of Istanbul, acclaimed Turkish author Elif Shafak unfolds two tantalizing parallel narratives—one contemporary and the other set in the thirteenth century, when Rumi encountered his spiritual mentor, the whirling dervish known as Shams of Tabriz—that together incarnate the poet's timeless message of love.  Ella Rubenstein is forty years old and unhappily married when she takes a job as a reader for a literary agent. Her first assignment is to read and report on Sweet Blasphemy, a novel written by a man named Aziz Zahara. Ella is mesmerized by his tale of Shams's search for Rumi and the dervish's role in transforming the successful but unhappy cleric into a committed mystic, passionate poet, and advocate of love. She is also taken with Shams's lessons, or rules, that offer insight into an ancient philosophy based on the unity of all people and religions, and the presence of love in each and every one of us. As she reads on, she realizes that Rumi's story mir­rors her own and that Zahara—like Shams—has come to set her free.",354 pages,"{'Historical Fiction', 'Novels', 'Historical', 'Fiction'}",Hardcover
2037,"Hunted (House of Night, #5)",P.C. Cast,3.93,"156,180 ratings",4134071,"What if the hottest guy in the world was hiding a nameless evil, and all he wanted was you? At the start of this heart-pounding new installment of the bestselling House of Night series, Zoey’s friends have her back again and Stevie Rae and the red fledglings aren’t Neferet’s secrets any longer. But an unexpected danger has emerged. Neferet guards her powerful new consort, Kalona, and no one at the House of Night seems to understand the threat he poses. Kalona looks gorgeous, and he has the House of Night under his spell. A past life holds the key to breaking his rapidly spreading influence, but what if this past life shows Zoey secrets she doesn’t want to hear and truths she can’t face?",323 pages,"{'Urban Fantasy', 'Fantasy', 'Romance', 'Paranormal', 'Vampires', 'Paranormal Romance', 'Young Adult', 'Fiction', 'Magic', 'Supernatural'}",Hardcover
2038,Twenties Girl,Sophie Kinsella,3.82,"143,788 ratings",6063187,"Lara Lington has always had an overactive imagination, but suddenly that imagination seems to be in overdrive. Normal professional twenty-something young women don't get visited by ghosts. Or do they?  When the spirit of Lara's great-aunt Sadie-a feisty, demanding girl with firm ideas about fashion, love, and the right way to dance-mysteriously appears, she has one request: Lara must find a missing necklace that had been in Sadie's possession for more than seventy-five years, because Sadie cannot rest without it.  Lara and Sadie make a hilarious sparring duo, and at first it seems as though they have nothing in common. But as the mission to find Sadie's necklace leads to intrigue and a new romance for Lara, these very different ""twenties"" girls learn some surprising truths from and about each other. Written with all the irrepressible charm and humor that have made Sophie Kinsella's books beloved by millions, Twenties Girl is also a deeply moving testament to the transcendent bonds of friendship and family.",435 pages,"{'Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Womens Fiction'}",Hardcover
2039,"Vision in White (Bride Quartet, #1)",Nora Roberts,4.11,"121,129 ratings",5598113,"Nora Roberts cordially invites you to meet childhood friends Parker, Emma, Laurel, and Mac—the founders of Vows, one of Connecticut's premier wedding planning companies.  After years of throwing make-believe weddings in the backyard, flowers, photography, desserts, and details are what these women do best: a guaranteed perfect, beautiful day full of memories to last the rest of your life.  With bridal magazine covers to her credit, Mackensie ""Mac"" Elliot is most at home behind the camera—ready to capture the happy moments she never experienced while growing up. Her father replaced his first family with a second, and now her mother, moving on to yet another man, begs Mac for attention and money. Mac's foundation is jostled again moments before an important wedding planning meeting when she bumps into the bride-to-be's brother...an encounter that has them both seeing stars.  Carter Maguire is definitely not her type: he's stable, and he's safe. He's even an English teacher at their high school alma mater. There's something about him that makes Mac think a casual fling is just what she needs to take her mind off dealing with bridezillas and screening her mother's phone calls. But a casual fling can turn into something more when you least expect it. And with the help of her three best friends—and business partners—Mac must learn how to make her own happy memories.",325 pages,"{'Adult', 'Romance', 'Audiobook', 'Chick Lit', 'Contemporary', 'Adult Fiction', 'Romantic', 'Fiction', 'Family', 'Womens Fiction', 'Contemporary Romance'}",
2040,"An Echo in the Bone (Outlander, #7)",Diana Gabaldon,4.44,"106,748 ratings",2832909,"The Seventh Outlander novel from #1 National Bestselling author Diana Gabaldon.  Jamie Fraser, erstwhile Jacobite and reluctant rebel, knows three things about the American rebellion: the Americans will win, unlikely as that seems in 1778; being on the winning side is no guarantee of survival; and he’d rather die than face his illegitimate son — a young lieutenant in the British Army — across the barrel of a gun. Fraser’s time-travelling wife, Claire, also knows a couple of things: that the Americans will win, but that the ultimate price of victory is a mystery. What she does believe is that the price won’t include Jamie’s life or happiness — not if she has anything to say.  Claire’s grown daughter Brianna, and her husband, Roger, watch the unfolding of Brianna’s parents’ history — a past that may be sneaking up behind their own family.",1149 pages,"{'Historical Fiction', 'Fantasy', 'Romance', 'Science Fiction', 'Historical', 'Fiction', 'Time Travel'}",Hardcover
2041,"Leviathan (Leviathan, #1)",Scott Westerfeld,3.91,"81,878 ratings",6050678,"Prince Aleksander, would-be heir to the Austro-Hungarian throne, is on the run. His own people have turned on him. His title is worthless. All he has is a battletorn war machine and a loyal crew of men.  Deryn Sharp is a commoner, disguised as a boy in the British Air Service. She's a brilliant airman. But her secret is in constant danger of being discovered.",440 pages,"{'Historical Fiction', 'Fantasy', 'Steampunk', 'Science Fiction', 'Historical', 'Young Adult', 'Fiction'}",Hardcover
2042,"Tempted (House of Night, #6)",P.C. Cast,3.96,"146,804 ratings",6262365,"So…you’d think after banishing an immortal being and a fallen High Priestess, saving Stark’s life, biting Heath, getting a headache from Erik, and almost dying, Zoey Redbird would catch a break. Sadly, a break is not in the House of Night school forecast for the High Priestess in training and her gang. Juggling three guys is anything but a stress reliever, especially when one of them is a sexy Warrior who is so into protecting Zoey that he can sense her emotions. Speaking of stress, the dark force lurking in the tunnels under the Tulsa Depot is spreading, and Zoey is beginning to believe Stevie Rae could be responsible for a lot more than a group of misfit red fledglings. Aphrodite’s visions warn Zoey to stay away from Kalona and his dark allure, but they also show that it is Zoey who has the power to stop the evil immortal.Soon it becomes obvious that Zoey has no choice: if she doesn’t go to Kalona he will exact a fiery vengeance on those closest to her. Will Zoey have the courage to chance losing her life, her heart, and her soul?",319 pages,"{'Fantasy', 'Vampires', 'Young Adult', 'Paranormal'}",
2043,This is Where I Leave You,Jonathan Tropper,3.89,"126,051 ratings",6224935,"A riotously funny, emotionally raw novel about love, marriage, divorce, family, and the ties that bind—whether we like it or not.  The death of Judd Foxman’s father marks the first time that the entire Foxman family—including Judd’s mother, brothers, and sister—have been together in years. Conspicuously absent: Judd’s wife, Jen, whose fourteen-month affair with Judd’s radio-shock-jock boss has recently become painfully public.  Simultaneously mourning the death of his father and the demise of his marriage, Judd joins the rest of the Foxmans as they reluctantly submit to their patriarch’s dying request: to spend the seven days following the funeral together. In the same house. Like a family.  As the week quickly spins out of control, longstanding grudges resurface, secrets are revealed, and old passions reawakened. For Judd, it’s a weeklong attempt to make sense of the mess his life has become while trying in vain not to get sucked into the regressive battles of his madly dysfunctional family. All of which would be hard enough without the bomb Jen dropped the day Judd’s father died: She’s pregnant.  This Is Where I Leave You is Jonathan Tropper's most accomplished work to date, a riotously funny, emotionally raw novel about love, marriage, divorce, family, and the ties that bind—whether we like it or not.",339 pages,"{'Humor', 'Contemporary', 'Fiction'}",Hardcover
2044,Shanghai Girls (Shanghai Girls #1),Lisa See,3.90,"130,418 ratings",5960325,"Pearl and May are sisters, living carefree lives in Shanghai, the Paris of Asia. But when Japanese bombs fall on their beloved city, they set out on the journey of a lifetime, one that will take them through the Chinese countryside, in and out of the clutch of brutal soldiers, and across the Pacific to the shores of America.  In 1937, Shanghai is the Paris of Asia, a city of great wealth and glamour, the home of millionaires and beggars, gangsters and gamblers, patriots and revolutionaries, artists and warlords. Thanks to the financial security and material comforts provided by their father’s prosperous rickshaw business, twenty-one-year-old Pearl Chin and her younger sister, May, are having the time of their lives. Though both sisters wave off authority and tradition, they couldn’t be more different: Pearl is a Dragon sign, strong and stubborn, while May is a true Sheep, adorable and placid. Both are beautiful, modern, and carefree . . . until the day their father tells them that he has gambled away their wealth and that in order to repay his debts he must sell the girls as wives to suitors who have traveled from California to find Chinese brides.  As Japanese bombs fall on their beloved city, Pearl and May set out on the journey of a lifetime, one that will take them through the Chinese countryside, in and out of the clutch of brutal soldiers, and across the Pacific to the shores of America. In Los Angeles they begin a fresh chapter, trying to find love with the strangers they have married, brushing against the seduction of Hollywood, and striving to embrace American life even as they fight against discrimination, brave Communist witch hunts, and find themselves hemmed in by Chinatown’s old ways and rules.",309 pages,"{'Historical Fiction', 'China', 'Cultural', 'Asia', 'Historical', 'Fiction'}",Hardcover
2045,"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,4.12,"99,834 ratings",6325285,"Manchmal ist es ein echtes Kreuz, in einer Familie zu leben, die jede Menge Geheimnisse hat. Der Überzeugung ist zumindest die 16-jährige Gwendolyn.  Bis sie sich eines Tages aus heiterem Himmel im London um die letzte Jahrhundertwende wiederfindet. Und ihr klar wird, dass ausgerechnet sie das allergrößte Geheimnis ihrer Familie ist. Was ihr dagegen nicht klar ist: Dass man sich zwischen den Zeiten möglichst nicht verlieben sollte. Denn das macht die Sache erst recht kompliziert!",343 pages,"{'Historical Fiction', 'Fantasy', 'Romance', 'Science Fiction', 'Historical', 'Young Adult', 'Time Travel'}",Hardcover
2046,Wintergirls,Laurie Halse Anderson,3.98,"103,268 ratings",5152478,"“Dead girl walking,” the boys say in the halls. “Tell us your secret,” the girls whisper, one toilet to another. I am that girl. I am the space between my thighs, daylight shining through. I am the bones they want, wired on a porcelain frame.  Lia and Cassie are best friends, wintergirls frozen in matchstick bodies, competitors in a deadly contest to see who can be the skinniest. But what comes after size zero and size double-zero? When Cassie succumbs to the demons within, Lia feels she is being haunted by her friend’s restless spirit.",278 pages,"{'Health', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Fiction', 'Young Adult'}",Hardcover
2047,The Dinner,Herman Koch,3.22,"120,668 ratings",40718205,"An internationally bestselling phenomenon: the darkly suspenseful, highly controversial tale of two families struggling to make the hardest decision of their lives - all over the course of one meal.  It's a summer's evening in Amsterdam, and two couples meet at a fashionable restaurant for dinner. Between mouthfuls of food and over the polite scrapings of cutlery, the conversation remains a gentle hum of polite discourse - the banality of work, the triviality of the holidays. But behind the empty words, terrible things need to be said, and with every forced smile and every new course, the knives are being sharpened.  Each couple has a fifteen-year-old son. The two boys are united by their accountability for a single horrific act; an act that has triggered a police investigation and shattered the comfortable, insulated worlds of their families. As the dinner reaches its culinary climax, the conversation finally touches on their children. As civility and friendship disintegrate, each couple show just how far they are prepared to go to protect those they love.  Tautly written, incredibly gripping, and told by an unforgettable narrator, The Dinner promises to be the topic of countless dinner party debates. Skewering everything from parenting values to pretentious menus to political convictions, this novel reveals the dark side of genteel society and asks what each of us would do in the face of unimaginable tragedy.",306 pages,"{'Mystery', 'Contemporary', 'Thriller', 'Fiction'}",
2048,"Soulless (Parasol Protectorate, #1)",Gail Carriger,3.91,"90,215 ratings",6381205,"Alexia Tarabotti is laboring under a great many social tribulations.  First, she has no soul. Second, she's a spinster whose father is both Italian and dead. Third, she was rudely attacked by a vampire, breaking all standards of social etiquette.  Where to go from there? From bad to worse apparently, for Alexia accidentally kills the vampire--and then the appalling Lord Maccon (loud, messy, gorgeous, and werewolf) is sent by Queen Victoria to investigate.  With unexpected vampires appearing and expected vampires disappearing, everyone seems to believe Alexia responsible. Can she figure out what is actually happening to London's high society? Will her soulless ability to negate supernatural powers prove useful or just plain embarrassing? Finally, who is the real enemy, and do they have treacle tart?",357 pages,"{'Urban Fantasy', 'Fantasy', 'Romance', 'Steampunk', 'Paranormal', 'Science Fiction', 'Vampires', 'Fiction'}",
2049,"The Demon King (Seven Realms, #1)",Cinda Williams Chima,4.18,"61,053 ratings",6342491,"Times are hard in the mountain city of Fellsmarch. Reformed thief Han Alister will do almost anything to eke out a living for his family. The only thing of value he has is something he can't sell—the thick silver cuffs he's worn since birth. They're clearly magicked—as he grows, they grow, and he's never been able to get them off.  One day, Han and his clan friend, Dancer, confront three young wizards setting fire to the sacred mountain of Hanalea. Han takes an amulet from Micah Bayar, son of the High Wizard, to keep him from using it against them. Soon Han learns that the amulet has an evil history—it once belonged to the Demon King, the wizard who nearly destroyed the world a millennium ago. With a magical piece that powerful at stake, Han knows that the Bayars will stop at nothing to get it back.  Meanwhile, Raisa ana'Marianna, princess heir of the Fells, has her own battles to fight. She's just returned to court after three years of freedom in the mountains—riding, hunting, and working the famous clan markets. Raisa wants to be more than an ornament in a glittering cage. She aspires to be like Hanalea—the legendary warrior queen who killed the Demon King and saved the world. But her mother has other plans for her...  The Seven Realms tremble when the lives of Hans and Raisa collide, fanning the flames of the smoldering war between clans and wizards.",506 pages,"{'Magic', 'Fantasy', 'Young Adult'}",Hardcover
2050,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,3.98,"114,226 ratings",6402364,"The New York Times best-selling Freakonomics was a worldwide sensation, selling over four million copies in thirty-five languages and changing the way we look at the world. Now, Steven D. Levitt and Stephen J. Dubner return with SuperFreakonomics, and fans and newcomers alike will find that the freakquel is even bolder, funnier, and more surprising than the first.",270 pages,"{'Psychology', 'Science', 'Audiobook', 'Social Science', 'Business', 'Economics', 'Sociology', 'Finance', 'Nonfiction', 'Politics'}",Hardcover
2051,Horns,Joe Hill,3.92,"92,962 ratings",6587879,"Ignatius Perrish spent the night drunk and doing terrible things. He woke up the next morning with a thunderous hangover, a raging headache . . . and a pair of horns growing from his temples.  At first Ig thought the horns were a hallucination, the product of a mind damaged by rage and grief. He had spent the last year in a lonely, private purgatory, following the death of his beloved, Merrin Williams, who was raped and murdered under inexplicable circumstances. A mental breakdown would have been the most natural thing in the world. But there was nothing natural about the horns, which were all too real.  Once the righteous Ig had enjoyed the life of the blessed: born into privilege, the second son of a renowned musician and younger brother of a rising late-night TV star, he had security, wealth, and a place in his community. Ig had it all, and more—he had Merrin and a love founded on shared daydreams, mutual daring, and unlikely midsummer magic.  But Merrin's death damned all that. The only suspect in the crime, Ig was never charged or tried. And he was never cleared. In the court of public opinion in Gideon, New Hampshire, Ig is and always will be guilty because his rich and connected parents pulled strings to make the investigation go away. Nothing Ig can do, nothing he can say, matters. Everyone, it seems, including God, has abandoned him. Everyone, that is, but the devil inside. . . .",370 pages,"{'Adult', 'Thriller', 'Fantasy', 'Paranormal', 'Audiobook', 'Horror', 'Adult Fiction', 'Fiction', 'Mystery', 'Supernatural'}",Hardcover
2052,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",Carrie Ryan,3.59,"78,989 ratings",3432478,"In Mary's world there are simple truths. The Sisterhood always knows best. The Guardians will protect and serve. The Unconsecrated will never relent. And you must always mind the fence that surrounds the village; the fence that protects the village from the Forest of Hands and Teeth. But, slowly, Mary’s truths are failing her. She’s learning things she never wanted to know about the Sisterhood and its secrets, and the Guardians and their power, and about the Unconsecrated and their relentlessness. When the fence is breached and her world is thrown into chaos, she must choose between her village and her future—between the one she loves and the one who loves her. And she must face the truth about the Forest of Hands and Teeth. Could there be life outside a world surrounded by so much death?",310 pages,"{'Post Apocalyptic', 'Fantasy', 'Romance', 'Paranormal', 'Science Fiction', 'Horror', 'Dystopia', 'Apocalyptic', 'Young Adult', 'Fiction', 'Zombies'}",
