titles,authors,ratings,num_ratings,id,img,description,genre,format,page,isbn,au_ge,key_words,bow
Hilda Lessways,Arnold Bennett,3.89,165 ratings,1327952,,,,,,,,,
Initials Only,Anna Katharine Green,3.10,112 ratings,6246317,,,,,,,,,
Red Eve,H. Rider Haggard,3.61,100 ratings,2351287,,,,,,,,,
Holy Quaran Arabic English,A. Daryabadi,3.74,92 ratings,107358,,,,,,,,,
Encyclopaedia Britannica,Encyclopædia Britannica,4.49,81 ratings,1601986,,,,,,,,,
The Arizona Clan,Zane Grey,3.66,160 ratings,121328,,,,,,,,,
The Dutch Twins,Lucy Fitch Perkins,3.80,99 ratings,5702057,,,,,,,,,
The Religious Life of Theological Students,Benjamin Breckinridge Warfield,4.58,113 ratings,546331,,,,,,,,,
The Amazing Adventures of Letitia Carberry,Mary Roberts Rinehart,3.92,77 ratings,210967,,,,,,,,,
Der verzauberte Garten,E. Nesbit,3.90,107 ratings,97092,,,,,,,,,
The First Indian War of Independence 1857-1859,Karl Marx,3.83,29 ratings,7705411,,,,,,,,,
"Tom Swift and His Wireless Message: or, the castaways of Earthquake island (Tom Swift Sr, #6)",Victor Appleton,3.78,117 ratings,784758,,,,,,,,,
Stover at Yale,Owen Johnson,3.75,61 ratings,2512,,,,,,,,,
Vereinigungen: Zwei Erzählungen,Robert Musil,3.72,81 ratings,1312420,,,,,,,,,
Edmond Dantes,Edmund Flagg,3.66,67 ratings,3632488,,,,,,,,,
"The Magic Art and the Evolution of Kings, Part 1",(as Alexandre Dumas),4.06,64 ratings,143314,,,,,,,,,
Floor Games,James George Frazer,3.41,71 ratings,29967,,,,,,,,,
"Aunt Jane's Nieces and Uncle John (Aunt Jane's Nieces, #6)",H.G. Wells,3.66,67 ratings,1681537,,,,,,,,,
Siren Land,Edith Van Dyne,3.82,34 ratings,2010401,,,,,,,,,
"Tom Swift Among the Diamond Makers, or, the Secret of Phantom Mountain (Tom Swift Sr, #7)",(Pseudonym),3.71,85 ratings,453287,,,,,,,,,
Metropolitan Life/Social Studies,Norman Douglas,4.42,33 ratings,55363,,,,,,,,,
The Story of a Panic,Victor Appleton,3.51,57 ratings,115433,,,,,,,,,
The Manor House School,Fran Lebowitz,3.61,76 ratings,6489371,,,,,,,,,
Vanities: A Comedy in Three Scenes,E.M. Forster,3.44,52 ratings,2195959,,,,,,,,,
The Common Law,Angela Brazil,3.22,32 ratings,6291384,,,,,,,,,
The Adventures of a Brownie,Jack Heifner,3.78,67 ratings,1191793,,,,,,,,,
Jim Davis,Robert W. Chambers,3.64,36 ratings,355615,,,,,,,,,
Tae Kwon Do: The Korean Martial Art,Dinah Maria Mulock Craik,4.22,40 ratings,1381648,,,,,,,,,
Battle of Cowpens,John Masefield,3.76,51 ratings,5263927,,,,,,,,,
Slovenly Betsy,Richard Chun,3.76,37 ratings,151757,,,,,,,,,
"Jesus, Author of Our Faith",Kenneth Roberts,3.97,30 ratings,1042005,,,,,,,,,
"Hunted Heretic: The Life and Death of Michael Servetus, 1511-1553",Henry Hoffmann,4.11,35 ratings,1972473,,,,,,,,,
The Reason Why,(Adapter),3.23,47 ratings,5257873,,,,,,,,,
The Transformations οf Man,A.W. Tozer,4.15,26 ratings,1346496,,,,,,,,,
Mr Perrin and Mr Traill,Roland H. Bainton,3.67,36 ratings,5629653,,,,,,,,,
"Grace Harlowe's Junior Year at High School; or, Fast Friends in the Sororities",Elinor Glyn,3.54,50 ratings,4125279,,,,,,,,,
Forty-Two Tales Including the Fall of the House of Usher,Lewis Mumford,4.03,35 ratings,2154455,,,,,,,,,
A Columbus of Space,Hugh Walpole,3.22,37 ratings,2124691,,,,,,,,,
Jonah,Jessie Graham Flower,3.49,47 ratings,3956198,,,,,,,,,
"Grace Harlowe's Sophomore Year at High School; or, The Record of the Girl Chums in Work and Athletics",Edgar Allan Poe,3.56,50 ratings,5586416,,,,,,,,,
Murder in a Cold Climate (RCMP Inspector Matthew Kitologitak #1),Garrett P. Serviss,3.31,45 ratings,8564800,,,,,,,,,
The Poems of Henry Van Dyke,Louis Stone,3.92,26 ratings,1180413,,,,,,,,,
Moments in Hell: Notes of a War Correspondent,Jessie Graham Flower,3.61,18 ratings,1999844,,,,,,,,,
Rabbi Nachman's Wisdom,Scott Young,4.57,37 ratings,1839645,,,,,,,,,
The Man on the Box,Henry Van Dyke,3.89,27 ratings,10757832,,,,,,,,,
Petrushka in Full Score: Original Version,Richard Harding Davis,4.47,30 ratings,204239,,,,,,,,,
A Weaver of Dreams (1911),Nachman of Breslov,3.93,29 ratings,2964245,,,,,,,,,
"The Eighteen-Carat Kid, and Other Stories",Harold MacGrath,3.67,36 ratings,1003199,,,,,,,,,
The Life of Edward Irving: Forerunner of the Charismatic Movement,Igor Stravinsky,3.97,30 ratings,930398,,,,,,,,,
Specimens of Bushman Folklore,Myrtle Reed,3.30,23 ratings,4538369,,,,,,,,,
"Grace Harlowe's Senior Year at High School; or, The Parting of the Ways",P.G. Wodehouse,3.68,31 ratings,4125278,,,,,,,,,
What A Life!: An Autobiography,Arnold A. Dallimore,3.81,26 ratings,1333884,,,,,,,,,
"3,000 Decorative Patterns of the Ancient World",Wilhelm Heinrich Immanuel Bleek,4.22,18 ratings,519486,,,,,,,,,
The Cult of Incompetence,Jessie Graham Flower,3.52,21 ratings,5982018,,,,,,,,,
A Safety Match,Edward Verrall Lucas,3.71,24 ratings,1394340,,,,,,,,,
Memories and Studies,William Matthew Flinders Petrie,like,rating — 7 ratings,19071507,,,,,,,,,
The Secret Of The Lost Fortune: A Daring Twins Mystery,Émile Faguet,4.43,7 ratings,1559362,,,,,,,,,
The Moving Finger,Ian Hay,3.42,24 ratings,969758,,,,,,,,,
The Flying Girl and Her Chum,William James,3.82,17 ratings,2116112,,,,,,,,,
Havoc,L. Frank Baum,3.56,16 ratings,950432,,,,,,,,,
The Girl of the Golden West,E. Phillips Oppenheim,3.21,19 ratings,6816952,,,,,,,,,
"The Ranch Girls At Rainbow Lodge (The Ranch Girls, #1)",Edith Van Dyne,4.00 ,17 ratings,6358770,,,,,,,,,
Early Greek Philosophy & Other Essays,(Pseudonym),3.87,15 ratings,782909,,,,,,,,,
The Riddle of the Fly: & Other Stories,E. Phillips Oppenheim,3.45,11 ratings,5063154,,,,,,,,,
The Pale Ape and Other Pulses,David Belasco,3.75,12 ratings,2933029,,,,,,,,,
The Ne'er-Do-Well,Margaret Vandercook,3.64,11 ratings,10817067,,,,,,,,,
The Feast of St. Friend,Friedrich Nietzsche,3.59,22 ratings,1884776,,,,,,,,,
The Girl Aviators and the Phantom Airship,Elizabeth Enright,3.94,17 ratings,6068302,,,,,,,,,
The Curate's Friend; The Road from Colonus,Matthew Phipps Shiel,2.50,20 ratings,2147372,,,,,,,,,
Chinese Tales: Zhuangzi: Sayings & Parables & Chinese Ghost & Love Stories,Rex Beach,3.40,10 ratings,1407464,,,,,,,,,
The Ruling Passion: Tales of Nature and Human Nature,Arnold Bennett,3.90,10 ratings,1294280,,,,,,,,,
A Portrait Of The Artist As A Young Girl,Margaret Burnham,3.38,16 ratings,2435094,,,,,,,,,
"H. D. and the Victorian Fin de Si�cle: Gender, Modernism, Decadence",E.M. Forster,4.00 ,6 ratings,1455986,,,,,,,,,
Das dramatische Werk. Das weite Land. Dramen 1909 - 1912.,Martin Buber,3.62,21 ratings,2200868,,,,,,,,,
Six Racy Madams of Colorado,Henry Van Dyke,3.14,14 ratings,1505633,,,,,,,,,
Under the Prophet in Utah: The National Menace of a Political Priestcraft,John Quinn,3.50,10 ratings,8392788,,,,,,,,,
Smith College Stories: Ten Stories (Short Story Index Reprint Series),Cassandra Laity,3.17,6 ratings,707021,,,,,,,,,
A Preface to Logic,Arthur Schnitzler,3.71,7 ratings,2606870,,,,,,,,,
Legends of Old Honolulu,Caroline Bancroft,3.62,8 ratings,10035493,,,,,,,,,
"Betty Wales Decides: A Story for Girls (Betty Wales, #8)",Frank J. Cannon,3.55,11 ratings,7209168,,,,,,,,,
Sacred Stories of the Sweet Grass Cree 1930,Josephine Daskam Bacon,4.44,9 ratings,900134,,,,,,,,,
The Starlit Mire,Morris R. Cohen,4.67,3 ratings,6830705,,,,,,,,,
High Noon,William Drake Westervelt,like,rating — 3 ratings,11451110,,,,,,,,,
Tobogganing on Parnassus,(Compilation),3.50,10 ratings,13394,,,,,,,,,
The Librarian at Play,Margaret Warde,4.30,10 ratings,3343688,,,,,,,,,
Five Types,Leonard Bloomfield,4.00 ,3 ratings,428093,,,,,,,,,
ALEF to Tav,James Bertram,3.36,11 ratings,238260,,,,,,,,,
The White Seneca,Elinor Glyn,4.50,2 ratings,4838795,,,,,,,,,
An Anthology of German Poetry from Holderlin to Rilke,Franklin P. Adams,4.20,5 ratings,2834957,,,,,,,,,
The Official Handbook for Boys,Edmund Lester Pearson,4.25,8 ratings,3629988,,,,,,,,,
Social Thought from Lore to Science 3,G.K. Chesterton,4.00 ,7 ratings,1427509,,,,,,,,,
The Morality of Woman,Yaffa Ganz,like,rating — 4 ratings,6690765,,,,,,,,,
"Diary of Gideon Welles, Secretary of the Navy Under Lincoln and Johnson, Volumes I-III",William W. Canfield,4.20,5 ratings,8629902,,,,,,,,,
Mittelhochdeutsche Grammatik,Ángel Flores,3.67,3 ratings,2165107,,,,,,,,,
Guns for Rebellion,The Boy Scouts of America,3.73,11 ratings,6856305,,,,,,,,,
Chapbooks of the Eighteenth Century,Howard S. Becker,3.86,7 ratings,6913196,,,,,,,,,
"The Black Spiritual Movement, 2Nd Ed: A Religious Response To Racism","Ellen Key, Mamah Bouton Borthwick",3.40,5 ratings,1229791,,,,,,,,,
Der tönerne Gott,Gideon Welles,3.83,6 ratings,3891281,,,,,,,,,
The Mediaeval Mind 2: A History of the Development of Thought & Emotion in the Middle Ages,Hugo Moser,like,rating — 1 rating,2150687,,,,,,,,,
Sea Lion Caves: And Other Poems,F. Van Wyck Mason,4.50,2 ratings,2348468,,,,,,,,,
"Ben Stone at Oakdale (Oakdale Academy, #1)",John Ashton,4.00 ,2 ratings,3896720,,,,,,,,,
"The Lost World (Professor Challenger, #1)",Arthur Conan Doyle,3.92,"52,247 ratings",10155,,,,,,,,,
"A Princess of Mars (Barsoom, #1)",Edgar Rice Burroughs,3.81,"48,716 ratings",40395,,,,,,,,,
"Daddy-Long-Legs (Daddy-Long-Legs, #1)",Jean Webster,4.13,"39,217 ratings",1499952,,,,,,,,,
Death in Venice,Thomas Mann,3.73,"33,117 ratings",53061,,,,,,,,,
"Tarzan of the Apes (Tarzan, #1)",Edgar Rice Burroughs,3.90,"37,934 ratings",40425,,,,,,,,,
The Broken Wings,Kahlil Gibran,3.92,"15,747 ratings",291,,,,,,,,,
Death in Venice and Other Tales,Thomas Mann,3.90,"19,385 ratings",53064,,,,,,,,,
The Problems of Philosophy,Bertrand Russell,3.91,"12,230 ratings",31799,,,,,,,,,
The Good Soldier Švejk,Jaroslav Hašek,4.11,"13,811 ratings",7629,,,,,,,,,
Le Grand Meaulnes,Alain-Fournier,3.75,"9,073 ratings",794779,,,,,,,,,
The Autobiography of an Ex-Colored Man,James Weldon Johnson,3.91,"8,034 ratings",130312,,,,,,,,,
Chronicles of Avonlea,L.M. Montgomery,3.93,"10,113 ratings",95694,,,,,,,,,
Riders of the Purple Sage (Riders of the Purple Sage #1),Zane Grey,3.71,"9,400 ratings",90160,,,,,,,,,
Hadji Murad,Leo Tolstoy,3.84,"7,800 ratings",135060,,,,,,,,,
The Master Key System,Charles F. Haanel,4.21,"4,966 ratings",71316,,,,,,,,,
In Desert and Wilderness,Henryk Sienkiewicz,3.58,"5,477 ratings",168696,,,,,,,,,
The Elementary Forms of Religious Life,Émile Durkheim,3.93,"2,929 ratings",332155,,,,,,,,,
Manalive,G.K. Chesterton,4.19,"2,704 ratings",899146,,,,,,,,,
Habis Gelap Terbitlah Terang,Raden Adjeng Kartini,4.05,"1,283 ratings",4526775,,,,,,,,,
Robin Hood,Henry Gilbert,3.87,"3,177 ratings",849915,,,,,,,,,
Den allvarsamma leken,Hjalmar Söderberg,3.88,"3,112 ratings",1696266,,,,,,,,,
Sunshine Sketches of a Little Town,Stephen Leacock,3.76,"3,168 ratings",249398,,,,,,,,,
"King Peggy: An American Secretary, Her Royal Destiny, and the Inspiring Story of How She Changed an African Village",Peggielene Bartels,3.89,"2,214 ratings",12775961,,,,,,,,,
The Martian Tales Trilogy (Barsoom #1-3),Edgar Rice Burroughs,4.01,"2,415 ratings",668851,,,,,,,,,
The Night Land,William Hope Hodgson,3.59,"1,163 ratings",970602,,,,,,,,,
The Reef,Edith Wharton,3.66,"1,674 ratings",614186,,,,,,,,,
The Theory of Money and Credit,Ludwig von Mises,4.26,870 ratings,154246,,,,,,,,,
Psychology of the Unconscious,C.G. Jung,4.19,678 ratings,565633,,,,,,,,,
The Yosemite,John Muir,4.11,957 ratings,238722,,,,,,,,,
Campos de Castilla,Antonio Machado,3.98,"2,027 ratings",144611,,,,,,,,,
La Guerre des Boutons,Louis Pergaud,3.89,"1,906 ratings",1432516,,,,,,,,,
The Knight in the Panther's Skin,Shota Rustaveli,4.62,"1,584 ratings",390966,,,,,,,,,
The Lost World & Other Stories,Arthur Conan Doyle,4.02,"1,433 ratings",10150,,,,,,,,,
Titanic,Filson Young,3.87,"1,069 ratings",11497008,,,,,,,,,
Symbols of Transformation (Collected Works 5),C.G. Jung,4.44,650 ratings,114517,,,,,,,,,
Smoke Bellew,Jack London,4.28,"1,526 ratings",2769141,,,,,,,,,
The Tale of Mr. Tod,Beatrix Potter,3.89,"1,425 ratings",375712,,,,,,,,,
Alexander's Bridge,Willa Cather,3.39,"1,196 ratings",445271,,,,,,,,,
Book 4,Aleister Crowley,4.08,"1,048 ratings",123663,,,,,,,,,
"South Pole: An Account of the Norwegian Antarctic Expedition in the 'Fram', 1910-12",Roald Amundsen,4.16,602 ratings,397062,,,,,,,,,
The Book of Wonder,Lord Dunsany,3.99,697 ratings,498116,,,,,,,,,
The Loss of the S.S. Titanic: Its Story and Its Lessons,Lawrence Beesley,3.97,815 ratings,1320563,,,,,,,,,
The Crock of Gold,James Stephens,3.98,624 ratings,377661,,,,,,,,,
The Great Test Book,Testy McTesterson,3.81,226 ratings,42816944,,,,,,,,,
The Judgement and In the Penal Colony,Franz Kafka,3.95,907 ratings,981550,,,,,,,,,
The Life of Cesare Borgia,Rafael Sabatini,3.75,452 ratings,1334158,,,,,,,,,
Sky Island,L. Frank Baum,4.00 ,580 ratings,765306,,,,,,,,,
"The Crystal Stopper (Arsène Lupin, #5)",Maurice Leblanc,3.97,726 ratings,141190,,,,,,,,,
Androcles and the Lion,George Bernard Shaw,3.64,645 ratings,1230072,,,,,,,,,
The Unbearable Bassington,Saki,3.79,550 ratings,242913,,,,,,,,,
The Charwoman's Daughter,James Stephens,3.65,136 ratings,2032803,,,,,,,,,
The Prince and Betty,P.G. Wodehouse,3.52,618 ratings,1936248,,,,,,,,,
The Servile State,Hilaire Belloc,3.94,325 ratings,148506,,,,,,,,,
The Adventures of Maya the Bee,Waldemar Bonsels,3.80,447 ratings,1693449,,,,,,,,,
Tobermory,Saki,3.87,344 ratings,2176690,,,,,,,,,
Missionary Methods: St. Paul's or Ours?,Roland Allen,4.14,424 ratings,709267,,,,,,,,,
The House of the Lord: A Study of Holy Sanctuaries Ancient and Modern,James E. Talmage,4.19,416 ratings,474233,,,,,,,,,
The Man Whom the Trees Loved,Algernon Blackwood,3.78,409 ratings,2916266,,,,,,,,,
Pelle's New Suit,Elsa Beskow,4.29,559 ratings,211897,,,,,,,,,
The Promised Land,Mary Antin,3.44,401 ratings,1336565,,,,,,,,,
The Mystery of 31 New Inn,R. Austin Freeman,3.72,430 ratings,2805307,,,,,,,,,
The Human Aura Astral Colors and Thought Forms,William Walker Atkinson,3.53,292 ratings,11324945,,,,,,,,,
The Phantom Carriage,Selma Lagerlöf,3.56,496 ratings,11972663,,,,,,,,,
Marie: An Episode in the Life of the Late Allan Quatermain,H. Rider Haggard,3.97,357 ratings,573380,,,,,,,,,
The Trespasser,D.H. Lawrence,3.32,279 ratings,769837,,,,,,,,,
Freya of the Seven Isles,Joseph Conrad,3.54,336 ratings,398144,,,,,,,,,
Essays in Radical Empiricism,William James,4.09,125 ratings,28831,,,,,,,,,
The Secret of the Night,Gaston Leroux,3.39,179 ratings,2032127,,,,,,,,,
Mrs. Ames,E.F. Benson,3.56,234 ratings,9828805,,,,,,,,,
Uncle Wiggily's Adventures,Howard R. Garis,4.04,253 ratings,3411376,,,,,,,,,
The Sea and the Jungle,H.M. Tomlinson,3.87,134 ratings,273032,,,,,,,,,
The Last Joy,Knut Hamsun,3.77,226 ratings,32591,,,,,,,,,
Wayfarer,Natsume Sōseki,3.84,176 ratings,672041,,,,,,,,,
The Wrecker,Robert Louis Stevenson,3.67,210 ratings,2477961,,,,,,,,,
"The Silent Bullet (Craig Kennedy, Scientific Detective #1)",Arthur B. Reeve,3.49,102 ratings,6064461,,,,,,,,,
The Complete Plays,J.M. Synge,4.04,243 ratings,12103,,,,,,,,,
Rheinsberg: ein Bilderbuch für Verliebte,Kurt Tucholsky,3.52,321 ratings,1912338,,,,,,,,,
Pitching in a Pinch: or Baseball from the Inside,Christy Mathewson,3.64,200 ratings,37537,,,,,,,,,
Robin Hood,Louis Rhead,3.99,193 ratings,1945221,,,,,,,,,
Fifty Famous People,James Baldwin,3.75,163 ratings,18908858,,,,,,,,,
Sounds,Wassily Kandinsky,3.96,161 ratings,402541,,,,,,,,,
The Symbolism of the Tarot: Philosophy of Occultism in Pictures and Numbers,P.D. Ouspensky,3.65,164 ratings,530908,,,,,,,,,
Japanese Fairy Tales,Grace James,3.61,115 ratings,1293832,,,,,,,,,
'Twixt Land and Sea,Joseph Conrad,3.79,174 ratings,438080,,,,,,,,,
A Son of the Sun: The Adventures of Captain David Grief,Jack London,3.63,168 ratings,1201818,,,,,,,,,
A Textbook of Theosophy,Charles W. Leadbeater,3.50,137 ratings,6868658,,,,,,,,,
The Mystical City Of God: A Popular Abridgment,Mary of Agreda,4.56,103 ratings,165660,,,,,,,,,
"Wreck and Sinking of the Titanic: The Ocean's Greatest Disaster: A Graphic and Thrilling Account of the Sinking of the Greatest Floating Palace Ever Built Carrying Down to Watery Graves More Than 1,500 Souls",Marshall Everett,3.78,148 ratings,12510936,,,,,,,,,
The Death of the Gods,Dmitry Merezhkovsky,4.32,111 ratings,71182,,,,,,,,,
Evangeline and Other Poems,Henry Wadsworth Longfellow,3.81,172 ratings,561720,,,,,,,,,
Philip Dru: Administrator,Edward Mandell House,2.42,122 ratings,2320117,,,,,,,,,
Cease Firing,Mary Johnston,3.43,42 ratings,27813645,,,,,,,,,
Buttered Side Down: Short Stories,Edna Ferber,3.89,172 ratings,5619377,,,,,,,,,
A Personal Record,Joseph Conrad,3.63,91 ratings,1549791,,,,,,,,,
Moths of the Limberlost,Gene Stratton-Porter,4.07,121 ratings,11218586,,,,,,,,,
Mates at Billabong,Mary Grant Bruce,4.00 ,189 ratings,294536,,,,,,,,,
Destruction as the Cause of Coming Into Being,Sabina Spielrein,4.23,44 ratings,13613022,,,,,,,,,
Where There's a Will,Mary Roberts Rinehart,3.59,132 ratings,1239066,,,,,,,,,
Wit and Wisdom of Abraham Lincoln,Anthony Gross,3.84,126 ratings,1455297,,,,,,,,,
Miss Billy's Decision,Eleanor H. Porter,3.72,155 ratings,9079381,,,,,,,,,
Marriage,H.G. Wells,3.34,58 ratings,2658053,,,,,,,,,
Colours and Years,Margit Kaffka,3.45,134 ratings,6342024,,,,,,,,,
Destiny Denied,Rosemary Gard,4.30,10 ratings,16110226,,,,,,,,,
Quel Amour D'enfant !,Comtesse de Ségur,3.89,177 ratings,2554930,,,,,,,,,
Sinking of the Titanic: Eyewitness Accounts,Jay Henry Mowbray,3.69,95 ratings,319676,,,,,,,,,
The Four Men: A Farrago,(Editor),3.95,82 ratings,1987390,,,,,,,,,
Women of the Titanic Disaster,Hilaire Belloc,3.66,104 ratings,13617863,,,,,,,,,
Aristotle,Sylvia Caldwell,3.59,64 ratings,3356809,,,,,,,,,
Mother West Wind's Animal Friends,A.E. Taylor,4.27,99 ratings,577129,,,,,,,,,
The Rocket Book,Thornton W. Burgess,3.93,132 ratings,1232490,,,,,,,,,
Stover at Yale,Peter Newell,3.75,61 ratings,2512,,,,,,,,,
Flint and Feather: The Complete Poems,Owen Johnson,4.02,53 ratings,5714046,,,,,,,,,
From Religion to Philosophy: A Study in the Origins of Western Speculation,E. Pauline Johnson,4.08,37 ratings,2285418,,,,,,,,,
Their Yesterdays,Francis Macdonald Cornford,3.86,97 ratings,3423093,,,,,,,,,
The Mirror Of The Sea & A Personal Record,Harold Bell Wright,3.88,58 ratings,1383452,,,,,,,,,
Simple Italian Cookery,Joseph Conrad,3.33,54 ratings,8138120,,,,,,,,,
"Tom Swift and His Wizard Camera (Tom Swift Sr, #14)",Antonia Isola,3.68,71 ratings,5296954,,,,,,,,,
"Letters to Atticus, Volume I: Letters 1–89",Victor Appleton,4.18,51 ratings,907911,,,,,,,,,
"Tom Swift in the City of Gold (Tom Swift Sr, #11)",Marcus Tullius Cicero,3.80,85 ratings,926967,,,,,,,,,
"Aunt Jane's Nieces on Vacation (Aunt Jane's Nieces, #7)",Victor Appleton,3.75,65 ratings,1681539,,,,,,,,,
Morgue & Other Expressionist Verse,Edith Van Dyne,4.27,66 ratings,4792477,,,,,,,,,
Friendship of Christ: Exploring the Humanity of Jesus Christ,(Pseudonym),4.38,73 ratings,824819,,,,,,,,,
The Japanese Twins,Gottfried Benn,4.02,58 ratings,2721924,,,,,,,,,
Ken Ward in the Jungle,Robert Hugh Benson,3.75,60 ratings,8256176,,,,,,,,,
Caterpillars,Lucy Fitch Perkins,3.49,108 ratings,6991439,,,,,,,,,
Lonesome Land,Zane Grey,3.53,60 ratings,574672,,,,,,,,,
Montessori for Parents,E.F. Benson,4.04,23 ratings,6962106,,,,,,,,,
"The Junior Classics, Volume I: Fairy and Wonder Tales",B.M. Bower,4.12,33 ratings,3295934,,,,,,,,,
The Forged Coupon and Other Stories by Leo Tolstoy,Dorothy Canfield Fisher,3.94,71 ratings,1607895,,,,,,,,,
The Melting of Molly,William Patten,3.99,76 ratings,1786076,,,,,,,,,
The Upas Tree,(Editor),3.21,62 ratings,4680845,,,,,,,,,
Exégèse Des Lieux Communs,Leo Tolstoy,3.74,54 ratings,6919620,,,,,,,,,
A Fourth Form Friendship,Maria Thompson Daviess,3.67,60 ratings,2510694,,,,,,,,,
"Tom Swift and His Air Glider, or Seeking the Platinum Treasure (Tom Swift Sr, #12)",Florence Louisa Barclay,3.89,65 ratings,3225988,,,,,,,,,
Greek Bucolic Poets: Theocritus. Bion. Moschus,Léon Bloy,4.00 ,39 ratings,2450,,,,,,,,,
The Holiday Round,Angela Brazil,3.81,37 ratings,11504662,,,,,,,,,
Heart Junction Series 100 Year Special Edition,Victor Appleton,4.00 ,1 rating,16146258,,,,,,,,,
"Tom Swift and His Great Searchlight; or, on the border for Uncle Sam (Tom Swift Sr, #15)",Theocritus,3.81,52 ratings,6328948,,,,,,,,,
The Greek View of Life,A.A. Milne,3.46,46 ratings,3284238,,,,,,,,,
"The Apostolic Fathers, Vol 1",Fran Shaff,4.24,42 ratings,851789,,,,,,,,,
Fanny's First Play,Victor Appleton,3.42,43 ratings,6995969,,,,,,,,,
A Pilgrimage to Angkor,Goldsworthy Lowes Dickinson,3.62,48 ratings,1320878,,,,,,,,,
The Rich Mrs. Burgoyne,Kirsopp Lake,3.73,45 ratings,1826842,,,,,,,,,
"Roman History, Volume I: Books 1-8.1",(Translator),4.06,31 ratings,167817,,,,,,,,,
Carnival,George Bernard Shaw,3.56,25 ratings,2755435,,,,,,,,,
Tenterhooks,Pierre Loti,3.56,43 ratings,5200419,,,,,,,,,
Russian Wonder Tales,Kathleen Thompson Norris,4.50,18 ratings,6285206,,,,,,,,,
The New Girl at St. Chad's,Appian,3.63,59 ratings,6347558,,,,,,,,,
A Pair of Schoolgirls,Compton Mackenzie,3.79,52 ratings,8161021,,,,,,,,,
Fountains in the Sand,Ada Leverson,3.26,23 ratings,23575043,,,,,,,,,
"Life of Apollonius of Tyana, Volume 1 Books I-IV",Post Wheeler,4.18,34 ratings,817957,,,,,,,,,
"The Junior Classics, Volume IV: Heros and Heroines of Chivalry",Angela Brazil,4.05,22 ratings,3295942,,,,,,,,,
The Devil's Paw,Angela Brazil,3.57,28 ratings,948728,,,,,,,,,
"Mark Twain, a Biography: The Personal and Literary Life of Samuel Langhorne Clemens",Norman Douglas,3.64,36 ratings,6365029,,,,,,,,,
The Moon Endureth: Tales and Fancies,Philostratus,3.50,28 ratings,6031568,,,,,,,,,
Cobb's Anatomy,William Patten,3.79,43 ratings,19045401,,,,,,,,,
Initiation Into Philosophy,(Editor),3.47,32 ratings,2281278,,,,,,,,,
Play-Making: A Manual of Craftsmanship,E. Phillips Oppenheim,4.17,12 ratings,171734,,,,,,,,,
A History of English Prose Rhythm,Albert Bigelow Paine,4.41,17 ratings,1928890,,,,,,,,,
"Roman History, Volume II: Books 8.2-12",John Buchan,4.13,23 ratings,779901,,,,,,,,,
London's Underworld,Irvin S. Cobb,3.29,21 ratings,1069399,,,,,,,,,
Flower of the North,Émile Faguet,3.65,40 ratings,20766623,,,,,,,,,
"The Junior Classics, Volume V: Stories That Never Grow Old",William Archer,3.94,17 ratings,3295943,,,,,,,,,
تاريخ القوقاز,George Saintsbury,4.00 ,7 ratings,7434192,,,,,,,,,
The Junior Classics: Volume VI: Old-Fashioned Tales,Appian,4.31,16 ratings,3295952,,,,,,,,,
"The Junior Classics, Volume VII: Stories of Courage and Heroism",Thomas Holmes,4.33,15 ratings,3295955,,,,,,,,,
Mary Ware's Promised Land,James Oliver Curwood,4.22,41 ratings,1901071,,,,,,,,,
"The Junior Classics, Volume VIII: Animal and Nature Stories",William Patten,4.20,15 ratings,3295960,,,,,,,,,
"Molly Brown's Freshman Days (Molly Brown, #1)",(Editor),3.59,29 ratings,7208784,,,,,,,,,
Patty's Butterfly Days,مت جوناتوقة )يوسف عزت باشا(,3.60,30 ratings,1825512,,,,,,,,,
Oscar Wilde - A Critical Study,William Patten,4.08,13 ratings,1796313,,,,,,,,,
"The Junior Classics, Volume III: Tales from Greece and Rome",(Editor),4.44,16 ratings,3295940,,,,,,,,,
"The Junior Classics, Volume II: Folk Tales and Myths",William Patten,4.40,15 ratings,3295935,,,,,,,,,
"Molly Brown's Junior Days (Molly Brown, #3)",(Editor),4.09,22 ratings,7208823,,,,,,,,,
The Fighting Spirit of Japan,Annie Fellows Johnston,3.92,26 ratings,964225,,,,,,,,,
"Molly Brown's Sophomore Days (Molly Brown, #2)",William Patten,3.77,26 ratings,8777459,,,,,,,,,
The High History of Good Sir Palamedes the Saracen Knight and of His Following of the Questing Beast,(Editor),3.71,7 ratings,6335797,,,,,,,,,
The Butterfly House,Nell Speed,3.75,12 ratings,1774479,,,,,,,,,
Halcyone,Carolyn Wells,3.75,16 ratings,5606099,,,,,,,,,
"The Junior Classics, Volume X: Poems Old and New",Arthur Ransome,3.70,10 ratings,3295965,,,,,,,,,
A Hoosier Chronicle,William Patten,3.77,13 ratings,6433580,,,,,,,,,
"The Junior Classics, IX: Stories of To-day",(Editor),4.00 ,11 ratings,3295962,,,,,,,,,
Meadowsweet,William Patten,3.56,9 ratings,2342922,,,,,,,,,
"Swann's Way (In Search of Lost Time, #1)",Marcel Proust,4.14,"40,643 ratings",12749,,,,,,,,,
"O Pioneers! (Great Plains Trilogy, #1)",Willa Cather,3.87,"43,537 ratings",140963,,,,,,,,,
Sons and Lovers,D.H. Lawrence,3.63,"45,260 ratings",32071,,,,,,,,,
